# Auto-generated offline OUI vendor mapping
# Generated by: tools/Import-OuiDataset.ps1
# Format: OUI,VENDOR
# OUI is 6 hex digits (first 3 bytes of a MAC)
# Source file: .\manuf

000000,but 0:0:0:0:0:0 is more common
000001,Xerox        Xerox Corporation
000002,Xerox        Xerox Corporation
000003,Xerox        Xerox Corporation
000004,Xerox        Xerox Corporation
000005,Xerox        Xerox Corporation
000006,Xerox        Xerox Corporation
000007,Xerox        Xerox Corporation
000008,Xerox        Xerox Corporation
000009,Xerox        Xerox Corporation
00000A,OmronTateisi Omron Tateisi Electronics Co.
00000B,Matrix       Matrix Corporation
00000C,Inc
00000D,Fibronics    Fibronics Ltd.
00000E,Fujitsu      Fujitsu Limited
00000F,Inc.
000010,Sytek        Sytek Inc.
000011,NormerelSyst Normerel Systemes
000012,InformationT Information Technology Limited
000013,Camex        Camex
000014,Netronix     Netronix
000015,Datapoint    Datapoint Corporation
000016,DuPontPixel  Du Pont Pixel Systems.
000017,Oracle       Oracle
000018,WebsterCompu Webster Computer Corporation
000019,AppliedDynam Applied Dynamics International
00001A,AMD          Advanced Micro Devices
00001B,Inc.
00001C,BellTechnolo Bell Technologies
00001D,Inc.
00001E,TelsistIndus Telsist Industria Electronica
00001F,Inc.
000020,Dataindustri Dataindustrier Diab Ab
000021,SuremanCompC Sureman Comp. & Commun. Corp.
000022,VisualTechno Visual Technology Inc.
000023,AbbIndustria Abb Industrial Systems Ab
000024,ConnectAs    Connect As
000025,Ramtek       Ramtek Corp.
000026,Ltd.
000027,JapanRadio   Japan Radio Company
000028,Prodigy      Prodigy Systems Corporation
000029,ImcNetworks  Imc Networks Corp.
00002A,TrwSeddInp   Trw - Sedd/Inp
00002B,Inc
00002C,Autotote     Autotote Limited
00002D,Chromatics   Chromatics Inc
00002E,SocieteEvira Societe Evira
00002F,Timeplex     Timeplex Inc.
000030,VgLaboratory Vg Laboratory Systems Ltd
000031,Ltd.
000032,Marconi      Marconi plc
000033,EganMachiner Egan Machinery Company
000034,NetworkResou Network Resources Corporation
000035,Spectragraph Spectragraphics Corporation
000036,Atari        Atari Corporation
000037,OxfordMetric Oxford Metrics Limited
000038,CssLabs      Css Labs
000039,Toshiba      Toshiba Corporation
00003A,Chyron       Chyron Corporation
00003B,Inc.
00003C,Auspex       Auspex Systems Inc.
00003D,Unisys       Unisys
00003E,Simpact      Simpact
00003F,Inc.
000040,Inc.
000041,Ice          Ice Corporation
000042,MetierManage Metier Management Systems Ltd.
000043,MicroTechnol Micro Technology
000044,Castelle     Castelle Corporation
000045,FordAerospac Ford Aerospace & Comm. Corp.
000046,OlivettiNort Olivetti North America
000047,NicoletInstr Nicolet Instruments Corp.
000048,SeikoEpson   Seiko Epson Corporation
000049,Ltd
00004A,AdcCodenollT Adc Codenoll Technology Corp.
00004B,IclData      Icl Data Oy
00004C,NEC          NEC Corporation
00004D,Dci          Dci Corporation
00004E,Ampex        Ampex Corporation
00004F,Inc.
000050,Radisys      Radisys Corporation
000051,HobElectroni Hob Electronic Gmbh & Co. Kg
000052,Inc.
000053,Compucorp    Compucorp
000054,SchneiderEle Schneider Electric
000055,Commissariat Commissariat A L`Energie Atom.
000056,DrBStruck    Dr. B. Struck
000057,Scitex       Scitex Corporation Ltd.
000058,RacoreComput Racore Computer Products Inc.
000059,Hellige      Hellige GMBH
00005A,SysKonnect   SysKonnect GmbH
00005B,EltecElektro Eltec Elektronik Ag
00005C,TelematicsIn Telematics International Inc.
00005D,CsTelecom    Cs Telecom
00005E,IANA Department
00005F,Ltd
000060,KontronEurop Kontron Europe GmbH
000061,GatewayCommu Gateway Communications
000062,BullHnInform Bull Hn Information Systems
000063,BarcoControl Barco Control Rooms Gmbh
000064,YokogawaDigi Yokogawa Digital Computer Corporation
000065,NetworkGener Network General Corporation
000066,Inc.
000067,Inc.
000068,RosemountCon Rosemount Controls
000069,ConcordCommu Concord Communications Inc
00006A,ComputerCons Computer Consoles Inc.
00006B,SiliconGraph Silicon Graphics
00006C,SchneiderEle Schneider Electric
00006D,Ltd.
00006E,Artisoft     Artisoft Inc.
00006F,Madge        Madge Ltd.
000070,Hcl          Hcl Limited
000071,Adra         Adra Systems Inc.
000072,MiniwareTech Miniware Technology
000073,Siecor       Siecor Corporation
000074,Ricoh        Ricoh Company Ltd.
000075,NortelNetwor Nortel Networks
000076,AbekasVideoS Abekas Video System
000077,Interphase   Interphase Corporation
000078,Labtam       Labtam Limited
000079,Networth     Networth Incorporated
00007A,DanaComputer Dana Computer Inc.
00007B,ResearchMach Research Machines
00007C,Ampere       Ampere Incorporated
00007D,Oracle       Oracle Corporation
00007E,Clustrix     Clustrix Corporation
00007F,LinotypeHell Linotype-Hell Ag
000080,CrayCommunic Cray Communications A/S
000081,BayNetworks  Bay Networks
000082,LectraSystem Lectra Systemes Sa
000083,TadpoleTechn Tadpole Technology Plc
000084,Supernet     Supernet
000085,Canon        Canon Inc.
000086,Megahertz    Megahertz Corporation
000087,Ltd.
000088,BrocadeCommu Brocade Communications Systems LLC
000089,Cayman       Cayman Systems Inc.
00008A,DatahouseInf Datahouse Information Systems
00008B,Infotron     Infotron
00008C,AlloyCompute Alloy Computer Products (Australia) Pty Ltd
00008D,Cryptek      Cryptek Inc.
00008E,Inc.
00008F,Raytheon     Raytheon
000090,Microcom     Microcom
000091,Anritsu      Anritsu Corporation
000092,CogentDataTe Cogent Data Technologies
000093,Proteon      Proteon Inc.
000094,AsanteTechno Asante Technologies
000095,SonyTektroni Sony Tektronix Corp.
000096,MarconiElect Marconi Electronics Ltd.
000097,DellEMC      Dell EMC
000098,Crosscomm    Crosscomm Corporation
000099,Inc.
00009A,RcComputer   Rc Computer A/S
00009B,Inc
00009C,RolmMilSpecC Rolm Mil-Spec Computers
00009D,LocusComputi Locus Computing Corporation
00009E,Marli        Marli S.A.
00009F,AmeristarTec Ameristar Technologies Inc.
0000A0,Ltd.
0000A1,MarquetteEle Marquette Electric Co.
0000A2,BayNetworks  Bay Networks
0000A3,NetworkAppli Network Application Technology
0000A4,AcornCompute Acorn Computers Limited
0000A5,Tattile      Tattile SRL
0000A6,NetworkGener Network General Corporation
0000A7,NetworkCompu Network Computing Devices Inc.
0000A8,StratusTechn Stratus Technologies
0000A9,Network      Network Systems Corp.
0000AA,Xerox        Xerox Corporation
0000AB,LogicModelin Logic Modeling Corporation
0000AC,ConwareCompu Conware Computer Consulting
0000AD,BrukerInstru Bruker Instruments Inc.
0000AE,DassaultElec Dassault Electronique
0000AF,Inc.
0000B0,RndRadNetwor Rnd-Rad Network Devices
0000B1,AlphaMicro   Alpha Micro
0000B2,Inc.
0000B3,Cimlinc      Cimlinc Incorporated
0000B4,EdimaxTechno Edimax Technology Co. Ltd.
0000B5,DatabilitySo Datability Software Sys. Inc.
0000B6,MicroMaticRe Micro-Matic Research
0000B7,DoveComputer Dove Computer Corporation
0000B8,Ltd.
0000B9,McdonnellDou Mcdonnell Douglas Computer Sys
0000BA,Inc.
0000BB,TriData      Tri-Data
0000BC,RockwellAuto Rockwell Automation
0000BD,Ltd.
0000BE,NtiGroup     The Nti Group
0000BF,SymmetricCom Symmetric Computer Systems
0000C0,WesternDigit Western Digital Corporation
0000C1,Madge        Madge Ltd.
0000C2,InformationP Information Presentation Tech.
0000C3,Harris       Harris Corporation
0000C4,WatersDivMil Waters Div. Of Millipore
0000C5,Commscope    Commscope
0000C6,Eon          Eon Systems
0000C7,Arix         Arix Corporation
0000C8,AltosCompute Altos Computer Systems
0000C9,Emulex       Emulex Corporation
0000CA,Commscope    Commscope
0000CB,CompuShackEl Compu-Shack Electronic Gmbh
0000CC,Ltd.
0000CD,AlliedTelesi Allied Telesis Labs Ltd
0000CE,Megadata     Megadata Corp.
0000CF,HayesMicroco Hayes Microcomputer Products
0000D0,DevelconElec Develcon Electronics Ltd.
0000D1,Adaptec      Adaptec Incorporated
0000D2,Inc.
0000D3,WangLaborato Wang Laboratories Inc.
0000D4,PureData     Pure Data Ltd.
0000D5,MicrognosisI Micrognosis International
0000D6,PunchLine    Punch Line Holding
0000D7,DartmouthCol Dartmouth College
0000D8,Inc.
0000D9,NipponTelegr Nippon Telegraph & Telephone
0000DA,Atex         Atex
0000DB,BritishTelec British Telecommunications plc
0000DC,HayesMicroco Hayes Microcomputer Products
0000DD,Tcl          Tcl Incorporated
0000DE,Cetia        Cetia
0000DF,BellHowellPu Bell & Howell Pub Sys Div
0000E0,Quadram      Quadram Corp.
0000E1,Grid         Grid Systems
0000E2,AcerTechnolo Acer Technologies Corp.
0000E3,IntegratedMi Integrated Micro Products Ltd
0000E4,In2GroupeInt In2 Groupe Intertechnique
0000E5,Sigmex       Sigmex Ltd.
0000E6,AptorProduit Aptor Produits De Comm Indust
0000E7,StarGateTech Star Gate Technologies
0000E8,AcctonTechno Accton Technology Corp.
0000E9,Inc.
0000EA,Upnod        Upnod Ab
0000EB,MatsushitaCo Matsushita Comm. Ind. Co. Ltd.
0000EC,Microprocess Microprocess
